datetime,open,high,low,close,volume
2025-09-16 18:15:00+00:00,3.0493,3.053,3.0442,3.046,1931100.6
2025-09-16 18:30:00+00:00,3.046,3.0473,3.0364,3.0407,2647010.2
2025-09-16 18:45:00+00:00,3.0407,3.0434,3.038,3.0413,1725239.2
2025-09-16 19:00:00+00:00,3.0412,3.0456,3.0369,3.043,2005061.6
2025-09-16 19:15:00+00:00,3.043,3.046,3.0378,3.0415,1779577.6
2025-09-16 19:30:00+00:00,3.0414,3.0427,3.0367,3.0399,1734227.9
2025-09-16 19:45:00+00:00,3.0401,3.0552,3.04,3.0532,3396239.5
2025-09-16 20:00:00+00:00,3.0529,3.0534,3.0475,3.0494,2571590.3
2025-09-16 20:15:00+00:00,3.0495,3.0512,3.043,3.0475,1720887.4
2025-09-16 20:30:00+00:00,3.0475,3.0508,3.0448,3.0501,1907831.2
2025-09-16 20:45:00+00:00,3.0502,3.0513,3.0474,3.0485,1305429.2
2025-09-16 21:00:00+00:00,3.0486,3.0536,3.0478,3.0482,2085274.7
2025-09-16 21:15:00+00:00,3.0482,3.0532,3.0478,3.051,1644357.8
2025-09-16 21:30:00+00:00,3.051,3.0581,3.0506,3.055,2043592.4
2025-09-16 21:45:00+00:00,3.055,3.0567,3.0522,3.0555,815585.8
2025-09-16 22:00:00+00:00,3.0556,3.0595,3.0543,3.0573,2137242.7
