datetime,open,high,low,close,volume
2025-08-28 16:00:00+00:00,2.9821,2.9957,2.9817,2.9948,5781568.2
2025-08-28 16:15:00+00:00,2.995,2.9995,2.9906,2.9978,5580424.6
2025-08-28 16:30:00+00:00,2.9976,2.9982,2.9892,2.9907,4648959.0
2025-08-28 16:45:00+00:00,2.9907,2.9916,2.9592,2.9597,6197661.3
2025-08-28 17:00:00+00:00,2.9596,2.976,2.9576,2.9758,8953165.8
2025-08-28 17:15:00+00:00,2.976,2.9846,2.9743,2.9829,4184012.8
2025-08-28 17:30:00+00:00,2.9827,2.983,2.9744,2.9804,3793404.5
2025-08-28 17:45:00+00:00,2.9803,2.9819,2.9764,2.9804,3196603.6
2025-08-28 18:00:00+00:00,2.9802,2.9807,2.9702,2.9735,3090166.8
2025-08-28 18:15:00+00:00,2.9736,2.9835,2.969,2.9827,2789823.9
2025-08-28 18:30:00+00:00,2.9826,2.9877,2.9795,2.983,2851318.9
2025-08-28 18:45:00+00:00,2.9829,2.9853,2.9773,2.9789,3896048.0
2025-08-28 19:00:00+00:00,2.9789,2.9861,2.9782,2.9792,3811601.2
2025-08-28 19:15:00+00:00,2.9791,2.9796,2.9714,2.9794,3232531.0
2025-08-28 19:30:00+00:00,2.9793,2.9814,2.9622,2.9649,4004577.4
2025-08-28 19:45:00+00:00,2.9651,2.9699,2.9434,2.9447,6466547.5
