datetime,open,high,low,close,volume
2025-09-08 14:45:00+00:00,2.9778,2.9845,2.9734,2.9825,1949827.5
2025-09-08 15:00:00+00:00,2.9826,2.9846,2.976,2.9775,2879058.7
2025-09-08 15:15:00+00:00,2.9775,2.986,2.9722,2.9845,3025487.3
2025-09-08 15:30:00+00:00,2.9843,2.985,2.9757,2.98,2272694.7
2025-09-08 15:45:00+00:00,2.9801,2.9874,2.9778,2.9862,2580620.8
2025-09-08 16:00:00+00:00,2.9863,2.9913,2.9781,2.9784,2627809.6
2025-09-08 16:15:00+00:00,2.9784,2.9837,2.9739,2.9809,1881998.0
2025-09-08 16:30:00+00:00,2.9809,2.981,2.9654,2.9754,3611746.6
2025-09-08 16:45:00+00:00,2.9756,2.9763,2.9613,2.9701,2393590.1
2025-09-08 17:00:00+00:00,2.9701,2.9717,2.9632,2.9663,2619473.6
2025-09-08 17:15:00+00:00,2.9664,2.9832,2.9661,2.9827,2253783.8
2025-09-08 17:30:00+00:00,2.9828,2.9832,2.9726,2.9737,1383101.1
2025-09-08 17:45:00+00:00,2.9737,2.9786,2.9667,2.9699,1708298.2
2025-09-08 18:00:00+00:00,2.9701,2.9787,2.9693,2.9742,1754199.4
2025-09-08 18:15:00+00:00,2.9741,2.9772,2.9712,2.975,1192682.9
2025-09-08 18:30:00+00:00,2.9749,2.9793,2.97,2.9737,1287718.4
