datetime,open,high,low,close,volume
2025-08-17 08:15:00+00:00,3.1152,3.1182,3.1136,3.118,822222.7
2025-08-17 08:30:00+00:00,3.1181,3.128,3.1176,3.1256,930358.0
2025-08-17 08:45:00+00:00,3.1255,3.1438,3.1254,3.1394,1981487.9
2025-08-17 09:00:00+00:00,3.1393,3.1417,3.1319,3.1323,1723668.1
2025-08-17 09:15:00+00:00,3.1324,3.1325,3.1239,3.1257,1587550.2
2025-08-17 09:30:00+00:00,3.1257,3.1284,3.1203,3.1212,1455305.1
2025-08-17 09:45:00+00:00,3.1211,3.1336,3.1206,3.1333,1128756.3
2025-08-17 10:00:00+00:00,3.1333,3.1393,3.1264,3.1316,1197437.1
2025-08-17 10:15:00+00:00,3.1318,3.1354,3.1261,3.1265,817165.8
2025-08-17 10:30:00+00:00,3.1262,3.1293,3.1234,3.1288,899950.3
2025-08-17 10:45:00+00:00,3.1289,3.1296,3.1232,3.1286,895533.5
2025-08-17 11:00:00+00:00,3.1287,3.1289,3.1244,3.126,813510.7
2025-08-17 11:15:00+00:00,3.1261,3.1332,3.1249,3.1332,826620.1
2025-08-17 11:30:00+00:00,3.133,3.1344,3.1288,3.1309,992888.7
2025-08-17 11:45:00+00:00,3.1309,3.1345,3.1288,3.1298,722111.1
2025-08-17 12:00:00+00:00,3.1298,3.1306,3.125,3.1251,927116.2
