datetime,open,high,low,close,volume
2025-08-21 15:45:00+00:00,2.8951,2.8954,2.8823,2.8871,1723450.3
2025-08-21 16:00:00+00:00,2.8874,2.9028,2.8819,2.9003,2253256.3
2025-08-21 16:15:00+00:00,2.9004,2.9105,2.8917,2.8986,2768194.5
2025-08-21 16:30:00+00:00,2.8985,2.9044,2.8893,2.9014,3108979.8
2025-08-21 16:45:00+00:00,2.9014,2.9036,2.8884,2.8903,3247516.1
2025-08-21 17:00:00+00:00,2.8903,2.8912,2.8736,2.8779,2878550.7
2025-08-21 17:15:00+00:00,2.8778,2.891,2.8772,2.8852,2730077.7
2025-08-21 17:30:00+00:00,2.8851,2.9045,2.884,2.9019,2012048.4
2025-08-21 17:45:00+00:00,2.9014,2.9078,2.899,2.9018,1174900.6
2025-08-21 18:00:00+00:00,2.9016,2.9061,2.9008,2.9043,1030044.2
2025-08-21 18:15:00+00:00,2.9047,2.9172,2.9025,2.9149,1106627.7
2025-08-21 18:30:00+00:00,2.9151,2.9158,2.904,2.9047,1572229.6
2025-08-21 18:45:00+00:00,2.9049,2.9158,2.9002,2.9136,1107709.1
2025-08-21 19:00:00+00:00,2.9133,2.9195,2.9074,2.9082,1083112.9
2025-08-21 19:15:00+00:00,2.9082,2.9113,2.8888,2.889,1451114.6
2025-08-21 19:30:00+00:00,2.8893,2.8893,2.8681,2.8683,2099381.8
