datetime,open,high,low,close,volume
2025-07-31 02:30:00+00:00,3.1278,3.1365,3.1253,3.1363,118577.9
2025-07-31 02:45:00+00:00,3.1363,3.1378,3.1313,3.1366,246256.4
2025-07-31 03:00:00+00:00,3.1367,3.14,3.131,3.1387,328737.3
2025-07-31 03:15:00+00:00,3.1388,3.1399,3.1355,3.1383,89910.4
2025-07-31 03:30:00+00:00,3.1382,3.1423,3.1343,3.1423,278323.4
2025-07-31 03:45:00+00:00,3.1423,3.1468,3.1381,3.1399,312384.3
2025-07-31 04:00:00+00:00,3.14,3.1409,3.1356,3.1366,102061.1
2025-07-31 04:15:00+00:00,3.1366,3.1366,3.1317,3.1317,118671.8
2025-07-31 04:30:00+00:00,3.1326,3.1432,3.1322,3.1397,166199.1
2025-07-31 04:45:00+00:00,3.1398,3.1438,3.1396,3.1406,145704.4
2025-07-31 05:00:00+00:00,3.1407,3.1415,3.1366,3.1403,119006.5
2025-07-31 05:15:00+00:00,3.1403,3.1488,3.1403,3.1488,205241.2
2025-07-31 05:30:00+00:00,3.1488,3.1499,3.1446,3.1468,199985.1
2025-07-31 05:45:00+00:00,3.1468,3.1468,3.1405,3.1426,272652.5
2025-07-31 06:00:00+00:00,3.1425,3.1451,3.1356,3.136,419385.9
2025-07-31 06:15:00+00:00,3.1363,3.1393,3.134,3.1382,111605.1
