datetime,open,high,low,close,volume
2025-08-12 09:00:00+00:00,3.1512,3.1544,3.13,3.1321,4081630.0
2025-08-12 09:15:00+00:00,3.1323,3.1427,3.1295,3.1413,3878167.9
2025-08-12 09:30:00+00:00,3.1415,3.1417,3.131,3.1339,3546530.5
2025-08-12 09:45:00+00:00,3.1339,3.139,3.1248,3.1285,2872353.6
2025-08-12 10:00:00+00:00,3.1284,3.1289,3.1044,3.1106,5336416.9
2025-08-12 10:15:00+00:00,3.1107,3.124,3.1055,3.122,3561597.2
2025-08-12 10:30:00+00:00,3.1218,3.1296,3.1134,3.1203,2851099.8
2025-08-12 10:45:00+00:00,3.1203,3.1322,3.1202,3.1285,1791721.8
2025-08-12 11:00:00+00:00,3.1286,3.1351,3.1177,3.1231,1876353.8
2025-08-12 11:15:00+00:00,3.123,3.149,3.1228,3.1461,2126470.7
2025-08-12 11:30:00+00:00,3.1461,3.1589,3.1452,3.1533,2525103.0
2025-08-12 11:45:00+00:00,3.153,3.1617,3.1496,3.1498,2299688.1
2025-08-12 12:00:00+00:00,3.1497,3.1542,3.145,3.1476,2203945.1
2025-08-12 12:15:00+00:00,3.1475,3.1658,3.1421,3.1618,2476659.3
2025-08-12 12:30:00+00:00,3.162,3.2002,3.162,3.1964,7746855.5
2025-08-12 12:45:00+00:00,3.1961,3.2034,3.1823,3.1859,6912796.1
