datetime,open,high,low,close,volume
2025-07-15 00:00:00+00:00,2.9584,2.9584,2.9346,2.9347,524493.3
2025-07-15 00:15:00+00:00,2.9346,2.9569,2.9344,2.9508,501270.3
2025-07-15 00:30:00+00:00,2.9507,2.951,2.9167,2.9231,576526.2
2025-07-15 00:45:00+00:00,2.924,2.9264,2.9041,2.909,828327.2
2025-07-15 01:00:00+00:00,2.9091,2.9121,2.8755,2.8887,1177773.0
2025-07-15 01:15:00+00:00,2.8882,2.9003,2.8654,2.8877,1061090.7
2025-07-15 01:30:00+00:00,2.8877,2.9138,2.8824,2.9108,829857.4
2025-07-15 01:45:00+00:00,2.9112,2.9222,2.8829,2.89,766776.2
2025-07-15 02:00:00+00:00,2.8897,2.9015,2.8706,2.8837,1409998.5
2025-07-15 02:15:00+00:00,2.8838,2.8867,2.8497,2.8572,3683043.0
2025-07-15 02:30:00+00:00,2.8572,2.885,2.8533,2.8788,1966729.2
2025-07-15 02:45:00+00:00,2.8793,2.8866,2.8692,2.8724,868163.8
2025-07-15 03:00:00+00:00,2.8723,2.8754,2.8192,2.8365,2051496.0
2025-07-15 03:15:00+00:00,2.8362,2.8405,2.805,2.8376,2071408.9
2025-07-15 03:30:00+00:00,2.8375,2.8398,2.8119,2.8378,1090529.1
2025-07-15 03:45:00+00:00,2.8379,2.8562,2.8369,2.8497,797314.4
2025-07-15 04:00:00+00:00,2.8498,2.8527,2.82,2.8526,1004368.5
2025-07-15 04:15:00+00:00,2.8527,2.8755,2.8527,2.8692,893582.8
2025-07-15 04:30:00+00:00,2.8692,2.8796,2.8539,2.8727,824226.8
2025-07-15 04:45:00+00:00,2.8727,2.8816,2.8657,2.869,571050.4
2025-07-15 05:00:00+00:00,2.869,2.8868,2.8688,2.8822,510241.8
2025-07-15 05:15:00+00:00,2.8823,2.886,2.8738,2.8783,372453.6
2025-07-15 05:30:00+00:00,2.8783,2.8783,2.8629,2.8744,507868.2
2025-07-15 05:45:00+00:00,2.8742,2.8769,2.8628,2.8756,423845.0
2025-07-15 06:00:00+00:00,2.8757,2.8852,2.8635,2.8697,673962.4
2025-07-15 06:15:00+00:00,2.87,2.8766,2.8629,2.87,380123.6
2025-07-15 06:30:00+00:00,2.8702,2.874,2.8547,2.8582,480763.9
2025-07-15 06:45:00+00:00,2.858,2.8625,2.8495,2.859,422329.7
2025-07-15 07:00:00+00:00,2.8592,2.873,2.8533,2.8544,620930.1
2025-07-15 07:15:00+00:00,2.8544,2.8636,2.8505,2.8614,305828.9
2025-07-15 07:30:00+00:00,2.8612,2.8711,2.8548,2.8623,573339.5
2025-07-15 07:45:00+00:00,2.8625,2.8647,2.8478,2.852,532587.1
2025-07-15 08:00:00+00:00,2.852,2.8531,2.8388,2.8411,584450.8
2025-07-15 08:15:00+00:00,2.8408,2.8491,2.8231,2.8488,1128897.4
2025-07-15 08:30:00+00:00,2.8491,2.8601,2.8477,2.8548,514988.8
2025-07-15 08:45:00+00:00,2.8549,2.8583,2.8471,2.85,345214.1
2025-07-15 09:00:00+00:00,2.8498,2.8801,2.8483,2.88,635066.9
2025-07-15 09:15:00+00:00,2.8797,2.8881,2.8707,2.8837,708516.8
2025-07-15 09:30:00+00:00,2.8834,2.8965,2.881,2.89,1019419.6
2025-07-15 09:45:00+00:00,2.8898,2.8938,2.8767,2.88,571243.4
2025-07-15 10:00:00+00:00,2.88,2.8975,2.8778,2.8879,430722.0
2025-07-15 10:15:00+00:00,2.8878,2.9232,2.8874,2.9132,960894.3
2025-07-15 10:30:00+00:00,2.9133,2.9145,2.8996,2.9068,421772.5
2025-07-15 10:45:00+00:00,2.9067,2.9176,2.9021,2.9146,386866.6
2025-07-15 11:00:00+00:00,2.9143,2.9285,2.9116,2.9131,645487.6
2025-07-15 11:15:00+00:00,2.9135,2.9136,2.8868,2.8958,556136.1
2025-07-15 11:30:00+00:00,2.8966,2.9021,2.892,2.9011,360566.7
2025-07-15 11:45:00+00:00,2.9013,2.9053,2.8962,2.905,340540.4
2025-07-15 12:00:00+00:00,2.905,2.9061,2.8914,2.8939,348099.0
2025-07-15 12:15:00+00:00,2.8942,2.8993,2.8834,2.8869,476165.8
2025-07-15 12:30:00+00:00,2.8873,2.9336,2.8514,2.8646,2416669.4
2025-07-15 12:45:00+00:00,2.864,2.9029,2.864,2.8962,859367.5
2025-07-15 13:00:00+00:00,2.8961,2.9267,2.8926,2.9188,870604.6
2025-07-15 13:15:00+00:00,2.9189,2.9199,2.9022,2.9117,395495.5
2025-07-15 13:30:00+00:00,2.911,2.9218,2.8985,2.9139,587017.9
2025-07-15 13:45:00+00:00,2.9142,2.9332,2.9115,2.9222,874209.4
2025-07-15 14:00:00+00:00,2.9224,2.9312,2.9118,2.9298,514776.0
2025-07-15 14:15:00+00:00,2.9299,2.9307,2.9028,2.906,616490.5
2025-07-15 14:30:00+00:00,2.9059,2.9096,2.8666,2.8765,935116.0
2025-07-15 14:45:00+00:00,2.8766,2.8824,2.8399,2.8548,1446021.1
2025-07-15 15:00:00+00:00,2.8549,2.8767,2.8428,2.872,929444.2
2025-07-15 15:15:00+00:00,2.8718,2.8834,2.863,2.8729,529596.5
2025-07-15 15:30:00+00:00,2.8734,2.8897,2.8662,2.8815,504147.4
2025-07-15 15:45:00+00:00,2.8825,2.9025,2.8823,2.8891,695850.1
2025-07-15 16:00:00+00:00,2.8895,2.9075,2.8826,2.8986,502462.0
2025-07-15 16:15:00+00:00,2.8979,2.907,2.8917,2.8996,391551.2
2025-07-15 16:30:00+00:00,2.8999,2.9187,2.8944,2.918,738786.4
2025-07-15 16:45:00+00:00,2.9184,2.9191,2.8987,2.9047,524699.6
2025-07-15 17:00:00+00:00,2.9043,2.9189,2.9043,2.9176,430719.0
2025-07-15 17:15:00+00:00,2.9174,2.9316,2.913,2.9292,667121.2
2025-07-15 17:30:00+00:00,2.9289,2.9313,2.9205,2.9284,369399.1
2025-07-15 17:45:00+00:00,2.9286,2.938,2.9268,2.938,535225.7
2025-07-15 18:00:00+00:00,2.9379,2.9398,2.9258,2.9317,522495.1
2025-07-15 18:15:00+00:00,2.9316,2.9448,2.9164,2.9178,1024273.0
2025-07-15 18:30:00+00:00,2.9182,2.9186,2.8815,2.8965,1064550.0
2025-07-15 18:45:00+00:00,2.8975,2.9108,2.8934,2.9028,555865.1
2025-07-15 19:00:00+00:00,2.9028,2.9229,2.8991,2.9154,847613.3
2025-07-15 19:15:00+00:00,2.9152,2.9207,2.9014,2.902,449768.4
2025-07-15 19:30:00+00:00,2.9019,2.9045,2.873,2.8746,742415.0
