datetime,open,high,low,close,volume
2025-09-17 21:30:00+00:00,3.0253,3.035,3.0235,3.0347,985106.4
2025-09-17 21:45:00+00:00,3.0349,3.0408,3.028,3.0337,635809.1
2025-09-17 22:00:00+00:00,3.0337,3.0594,3.0333,3.0562,2710470.9
2025-09-17 22:15:00+00:00,3.0561,3.0713,3.0516,3.07,3333306.4
2025-09-17 22:30:00+00:00,3.0702,3.0781,3.0684,3.0773,2251766.5
2025-09-17 22:45:00+00:00,3.077,3.0933,3.0727,3.0884,3419726.0
2025-09-17 23:00:00+00:00,3.0884,3.1095,3.0883,3.093,4381546.2
2025-09-17 23:15:00+00:00,3.0932,3.0959,3.0741,3.0822,3723827.8
2025-09-17 23:30:00+00:00,3.0824,3.0911,3.0704,3.073,2774783.9
2025-09-17 23:45:00+00:00,3.073,3.0871,3.0721,3.0857,2355570.1
2025-09-18 00:00:00+00:00,3.0859,3.0959,3.083,3.0946,3126372.2
2025-09-18 00:15:00+00:00,3.0946,3.0968,3.0779,3.081,2833472.4
2025-09-18 00:30:00+00:00,3.081,3.0918,3.0798,3.0888,1923088.8
2025-09-18 00:45:00+00:00,3.0886,3.0907,3.076,3.0769,2092180.1
2025-09-18 01:00:00+00:00,3.0769,3.0872,3.0719,3.0851,1617514.0
2025-09-18 01:15:00+00:00,3.0852,3.0906,3.0796,3.0839,1441992.6
