datetime,open,high,low,close,volume
2025-09-14 18:00:00+00:00,3.0563,3.0569,3.0497,3.0509,1220883.2
2025-09-14 18:15:00+00:00,3.051,3.0521,3.0438,3.0449,1216581.8
2025-09-14 18:30:00+00:00,3.0449,3.0479,3.0403,3.0408,1769928.5
2025-09-14 18:45:00+00:00,3.0408,3.0427,3.034,3.0382,1571065.1
2025-09-14 19:00:00+00:00,3.0382,3.0441,3.0313,3.0419,1756365.3
2025-09-14 19:15:00+00:00,3.0421,3.048,3.0405,3.0468,1195510.6
2025-09-14 19:30:00+00:00,3.0467,3.0485,3.039,3.042,1688732.4
2025-09-14 19:45:00+00:00,3.0422,3.0443,3.0348,3.0395,1151801.0
2025-09-14 20:00:00+00:00,3.0394,3.0453,3.0372,3.0436,1308700.3
2025-09-14 20:15:00+00:00,3.0434,3.0454,3.0397,3.0411,1162487.3
2025-09-14 20:30:00+00:00,3.041,3.0429,3.0357,3.0421,1404935.1
2025-09-14 20:45:00+00:00,3.0422,3.0432,3.0385,3.0403,1188453.9
2025-09-14 21:00:00+00:00,3.0404,3.0426,3.0288,3.036,1956905.5
2025-09-14 21:15:00+00:00,3.0361,3.043,3.0347,3.0393,1599894.8
2025-09-14 21:30:00+00:00,3.0393,3.0494,3.0392,3.0492,969895.4
2025-09-14 21:45:00+00:00,3.0494,3.054,3.0465,3.0504,682046.7
