datetime,open,high,low,close,volume
2025-09-15 21:30:00+00:00,3.0011,3.0051,2.9981,3.0038,839416.3
2025-09-15 21:45:00+00:00,3.0038,3.005,2.9993,3.0002,537432.4
2025-09-15 22:00:00+00:00,3.0001,3.0024,2.9828,2.9939,2628258.6
2025-09-15 22:15:00+00:00,2.9943,2.9993,2.9925,2.9975,794273.6
2025-09-15 22:30:00+00:00,2.9975,2.9986,2.9878,2.9904,1112992.2
2025-09-15 22:45:00+00:00,2.9903,2.993,2.9882,2.9921,868128.6
2025-09-15 23:00:00+00:00,2.992,2.9925,2.9859,2.9898,1436769.8
2025-09-15 23:15:00+00:00,2.9895,2.9992,2.9885,2.9983,1284610.7
2025-09-15 23:30:00+00:00,2.9981,3.0,2.995,2.9961,1283556.6
2025-09-15 23:45:00+00:00,2.9962,3.0002,2.9928,2.9982,1114064.0
2025-09-16 00:00:00+00:00,2.9981,2.9984,2.9897,2.9903,1575609.5
2025-09-16 00:15:00+00:00,2.9901,2.9929,2.9809,2.9839,1983600.1
2025-09-16 00:30:00+00:00,2.984,2.9882,2.9823,2.9859,2056595.9
2025-09-16 00:45:00+00:00,2.9858,2.9876,2.9777,2.9875,2135782.4
2025-09-16 01:00:00+00:00,2.9875,2.9998,2.986,2.9934,2052790.7
2025-09-16 01:15:00+00:00,2.9934,3.0006,2.9929,2.9967,1918174.7
