datetime,open,high,low,close,volume
2025-07-23 13:15:00+00:00,3.3606,3.3718,3.3277,3.3713,1484318.0
2025-07-23 13:30:00+00:00,3.3711,3.3711,3.2572,3.2815,3981756.1
2025-07-23 13:45:00+00:00,3.2813,3.2998,3.2215,3.2654,5571360.9
2025-07-23 14:00:00+00:00,3.2654,3.3057,3.2518,3.2676,1808848.1
2025-07-23 14:15:00+00:00,3.2668,3.3182,3.2666,3.3177,1281531.0
2025-07-23 14:30:00+00:00,3.3174,3.322,3.2952,3.3023,1361798.2
2025-07-23 14:45:00+00:00,3.3024,3.3057,3.2869,3.3056,758708.1
2025-07-23 15:00:00+00:00,3.3052,3.3144,3.2662,3.2708,1311936.8
2025-07-23 15:15:00+00:00,3.2714,3.2951,3.2676,3.2873,867423.2
2025-07-23 15:30:00+00:00,3.2872,3.3165,3.2822,3.3163,596971.2
2025-07-23 15:45:00+00:00,3.3165,3.3351,3.3006,3.3241,1129183.5
2025-07-23 16:00:00+00:00,3.3241,3.3241,3.2856,3.2867,1000435.0
2025-07-23 16:15:00+00:00,3.2876,3.2979,3.269,3.284,704792.0
2025-07-23 16:30:00+00:00,3.2836,3.2845,3.2465,3.2613,1338355.8
2025-07-23 16:45:00+00:00,3.2613,3.2647,3.2281,3.2313,2296188.0
2025-07-23 17:00:00+00:00,3.2313,3.249,3.2026,3.2119,4249091.4
